MU1;MU2;MU3;MU4;SI1;SI2;SI3;SI4
24.294;10.955;19.181;22.711;3.331;5.755;5.004;3.576
24.295;10.836;19.177;22.673;3.331;5.485;5.004;3.529
24.213;10.617;19.163;22.602;3.329;5.154;4.967;3.495
24.157;10.234;19.088;22.465;3.318;4.884;4.928;3.414
24.133;9.867;18.938;22.296;3.312;4.491;4.773;3.274
24.120;9.486;18.710;22.068;3.276;3.931;4.578;3.098
24.055;9.013;18.524;21.879;3.195;3.377;4.318;2.879
23.976;8.704;18.122;21.624;3.105;2.974;4.033;2.613
23.831;8.281;17.755;21.404;3.011;2.668;3.684;2.354
23.653;7.902;17.424;21.139;2.801;2.386;3.410;2.138
23.381;7.609;16.999;20.921;2.581;2.119;3.109;1.922
23.134;7.526;16.592;20.696;2.354;1.883;2.849;1.721
22.792;7.569;16.219;20.474;2.122;1.752;2.621;1.505
22.349;7.666;15.806;20.271;1.934;1.557;2.437;1.272
21.948;7.752;15.410;20.100;1.715;1.409;2.257;1.066
21.505;7.675;15.001;19.932;1.479;1.313;2.048;0.879
21.003;7.426;14.593;19.777;1.251;1.221;1.898;0.700
20.489;7.080;14.056;19.644;1.069;1.108;1.809;0.536
19.972;6.735;13.492;19.514;0.900;0.968;1.825;0.414
19.548;6.383;12.839;19.391;0.764;0.849;1.854;0.318
19.121;6.011;12.094;19.279;0.725;0.725;1.884;0.254
18.771;5.670;11.265;19.181;0.789;0.597;1.842;0.212
18.403;5.366;10.416;19.071;0.933;0.482;1.750;0.190
17.811;5.098;9.565;18.944;1.172;0.367;1.656;0.191
17.116;4.869;8.672;18.783;1.392;0.251;1.527;0.204
16.167;4.716;7.810;18.545;1.682;0.155;1.357;0.234
14.990;4.605;6.964;18.207;1.915;0.115;1.199;0.274
13.534;4.543;6.170;17.678;2.056;0.124;1.049;0.369
11.881;4.508;5.428;16.728;1.960;0.130;0.810;0.555
10.175;4.485;4.831;15.140;1.709;0.119;0.533;0.705
8.557;4.453;4.486;13.185;1.516;0.106;0.272;0.714
6.987;4.412;4.364;11.292;1.278;0.093;0.114;0.689
5.624;4.358;4.327;9.277;0.846;0.086;0.077;0.682
4.839;4.293;4.311;7.312;0.445;0.080;0.064;0.567
4.525;4.221;4.276;5.931;0.218;0.075;0.054;0.394
4.401;4.144;4.231;5.216;0.126;0.072;0.048;0.287
